id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8220701,2013-02-26T06:15:20,2013-02-26,2013-02-26 16:15:20 UTC,Hawaii,552380,henrydelange,Henry de Lange,2017-10-02 15:05:35 UTC,2022-09-05 17:26:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/8220701,https://static.inaturalist.org/photos/10896690/medium.jpg,,"","",2,0,false,179,"Western Cape, ZA",-33.86393655,18.59555897,,,,,,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
8730367,2017/11/07 4:58 PM +0200,2017-11-07,2017-11-07 14:58:00 UTC,Pretoria,528390,sallyslak,Sally Adam,2017-11-08 15:04:10 UTC,2022-09-05 13:48:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8730367,https://inaturalist-open-data.s3.amazonaws.com/photos/11713603/medium.png,,slakplaas,"Feeding on a sheep. Video here:
https://youtu.be/xrq130LB_GI",2,0,false,,Back field,-33.965617273,22.0924007893,15,,,,15,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
9704264,2018/01/23 5:19 PM SAST,2018-01-23,2018-01-23 15:19:00 UTC,Africa/Johannesburg,383144,tonyrebelo,Tony Rebelo,2018-02-02 17:21:50 UTC,2021-07-27 19:49:04 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/9704264,https://inaturalist-open-data.s3.amazonaws.com/photos/13271996/medium.jpeg,,"",,1,0,false,,Block A16 Lower Tokai Park section of Table Mountain National Park,-34.05096603,18.43063563,5,,,,5,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
9844899,2018/02/03 1:38 PM CAT,2018-02-03,2018-02-03 12:38:00 UTC,West Central Africa,528390,sallyslak,Sally Adam,2018-02-13 09:09:59 UTC,2022-09-05 13:58:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9844899,https://inaturalist-open-data.s3.amazonaws.com/photos/13484458/medium.jpeg,,"",Sommer in the middle of the day.,3,0,false,,Top of Les path,-33.9690274424,22.0881843567,4,,,,4,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
10610822,2018/04/03 9:08 PM SAST,2018-04-03,2018-04-03 19:08:00 UTC,Pretoria,528390,sallyslak,Sally Adam,2018-04-04 10:35:12 UTC,2022-09-05 12:14:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10610822,https://inaturalist-open-data.s3.amazonaws.com/photos/14798084/medium.jpeg,,"",The chicken eater! Snapped just outside the poultry area.,5,0,false,,Chicken camp,-33.9665426815,22.0911106467,4,,,,4,,open,false,,,Southeast African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
10801194,2011-11-04,2011-11-04,,Pretoria,668373,gigilaidler,Gigi Laidler,2011-11-04 16:37:49 UTC,2022-10-03 12:15:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10801194,https://inaturalist-open-data.s3.amazonaws.com/photos/15119962/medium.jpg,,"",<h3>Caracal</h3><br>,3,0,false,,Kirstenbosch National Botanical Garden,-33.98856,18.42461,1,,,,1,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
10901501,2013-09-08,2013-09-08,,Africa/Johannesburg,778039,paolocandotti,Paolo Candotti,2013-09-09 07:46:14 UTC,2018-10-06 00:18:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10901501,https://inaturalist-open-data.s3.amazonaws.com/photos/15322299/medium.jpg,,urban,<h3>Caracal with cubs</h3><br>,3,0,false,,Ronalds Kloof Stream,-29.777237,30.835828,1,,,,1,,open,false,,,Southeast African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
10922760,2013-05-26,2013-05-26,,Pretoria,765956,beneke,Beneke de Wet,2013-12-09 09:04:15 UTC,2022-10-03 12:17:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10922760,https://inaturalist-open-data.s3.amazonaws.com/photos/19181190/medium.jpg,,rural,<h3>Rooikat</h3><br>Not often seen,3,0,false,,Wolfkloof,-33.9923544,20.3706023,1,,,,1,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
11165825,2016-02-23,2016-02-23,,Africa/Johannesburg,662724,bushboy,Peter Vos,2016-02-27 07:17:08 UTC,2019-08-05 05:48:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11165825,https://inaturalist-open-data.s3.amazonaws.com/photos/15810324/medium.jpg,,"",<h3>Forest cat on the trail</h3><br>Photo kind courtesy of URV Cams.<br><br>First picture ever of long-rumoured beast!,4,0,false,,"Umdoni Forest, Pennington",-30.389,30.6775,1,,,,1,,open,false,,,Southeast African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
12738309,2018/05/23 9:05 AM SAST,2018-05-23,2018-05-23 07:05:00 UTC,Africa/Johannesburg,699343,chris_whitehouse,Chris Whitehouse,2018-05-23 14:19:34 UTC,2019-08-05 05:51:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12738309,https://static.inaturalist.org/photos/18451632/medium.jpg,,"Animal, Cat, Mammal, Overberg, Phillipskop, South Africa, Stanford, Western Cape","Strolling past the office window
https://www.instagram.com/p/BjH5Nq-lOaY",4,0,false,,Phillipskop Mountain Reserve,-34.40723,19.5276633333,,,,,,,open,false,,,Southeast African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
13945153,2014/01/08 11:11 AM HST,2014-01-08,2014-01-08 21:11:00 UTC,Hawaii,902305,gareth_preiss,Gareth Preiss,2018-07-01 14:10:53 UTC,2022-01-18 11:41:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13945153,https://inaturalist-open-data.s3.amazonaws.com/photos/20610227/medium.jpeg,,"",Shortly after we fitted a tracking collar,5,1,false,,"Tala Private Game Reserve, Indlovu DC, South Africa",-29.8096056463,30.524905944,17,,,,17,,open,false,,,Southeast African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
14983694,2018/06/26 7:22 PM SAST,2018-06-26,2018-06-26 17:22:00 UTC,Africa/Johannesburg,9957,jacquesmerwe923,Jacques van der Merwe,2018-07-31 13:25:43 UTC,2019-08-05 05:47:26 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/14983694,https://inaturalist-open-data.s3.amazonaws.com/photos/22350807/medium.jpeg,,"",Camera trap set up on Driefonteinen NR.,5,0,false,,"Cape Farms, Cape Town, South Africa",-33.6320812277,18.5054144158,29,,,,29,,open,false,,,Southeast African Caracal,Caracal caracal caracal,Southern and Eastern African Caracal,Mammalia,703804
